epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.463,1.40549,2.50173,1.76072,0.00853,0.82609,0.2376,0.11895,1.54943,3.35068,2.01297,0.000652174,0.000652174,0.000652174
2,371.369,1.48889,2.36841,1.80368,0.13407,0.26087,0.1564,0.08964,1.99497,3.43237,2.68185,0.00129273,0.00129273,0.00129273
3,553.85,1.59015,2.44009,1.89535,0.2878,0.31659,0.25004,0.12122,2.0159,3.33215,2.32681,0.00190688,0.00190688,0.00190688
4,742.399,1.64634,2.35147,1.9301,0.25746,0.34783,0.21198,0.08249,2.14743,3.51335,2.556,0.0018812,0.0018812,0.0018812
5,943.777,1.65998,2.30209,1.94204,0.11893,0.28191,0.11633,0.05734,2.09429,3.63958,2.44325,0.0018416,0.0018416,0.0018416
6,1190.69,1.65199,2.27874,1.94919,0.32021,0.43478,0.35696,0.18087,1.94812,3.86988,2.32792,0.001802,0.001802,0.001802
7,1502.94,1.60837,2.16388,1.9006,0.50768,0.4488,0.40689,0.21222,1.73446,2.35473,2.17081,0.0017624,0.0017624,0.0017624
8,1727.03,1.56688,2.08633,1.88215,0.39697,0.34783,0.31746,0.16448,1.8034,2.61943,2.21936,0.0017228,0.0017228,0.0017228
9,1909.59,1.50028,2.03121,1.81602,0.38784,0.26087,0.34545,0.16209,2.12409,2.64779,2.39275,0.0016832,0.0016832,0.0016832
10,2084.06,1.51629,1.92192,1.79606,0.62494,0.30435,0.33273,0.16988,1.84426,2.48706,2.22619,0.0016436,0.0016436,0.0016436
11,2240.34,1.47778,1.86787,1.78708,0.5986,0.43478,0.42829,0.2251,1.80977,2.35045,2.298,0.001604,0.001604,0.001604
12,2414.37,1.4422,1.81214,1.75112,0.91988,0.3913,0.55288,0.28198,1.90514,1.78764,2.20114,0.0015644,0.0015644,0.0015644
13,2594.33,1.49063,1.86092,1.77704,0.65279,0.40944,0.46665,0.22705,1.81054,2.00653,2.27867,0.0015248,0.0015248,0.0015248
14,2778.54,1.4654,1.78975,1.78339,0.53276,0.59527,0.54737,0.26326,1.99536,1.88785,2.33893,0.0014852,0.0014852,0.0014852
15,2943.77,1.40689,1.71858,1.74174,0.65869,0.47826,0.56172,0.23719,1.83261,1.80634,2.15744,0.0014456,0.0014456,0.0014456
16,3113.83,1.42402,1.7238,1.72778,0.78433,0.26087,0.40479,0.20559,1.84014,2.2687,2.26251,0.001406,0.001406,0.001406
17,3283.26,1.43773,1.68892,1.74092,0.83075,0.42737,0.53033,0.25252,1.80378,2.00639,2.11041,0.0013664,0.0013664,0.0013664
18,3445.9,1.36755,1.59245,1.68734,0.82228,0.60379,0.72216,0.42837,1.4617,1.49138,1.70972,0.0013268,0.0013268,0.0013268
19,3634.69,1.33407,1.57452,1.67384,0.89696,0.47826,0.65541,0.27629,1.92021,1.86893,2.24111,0.0012872,0.0012872,0.0012872
20,3830.8,1.37458,1.60384,1.69424,0.5925,0.6087,0.67121,0.34986,1.63255,1.48925,2.06076,0.0012476,0.0012476,0.0012476
21,4009.54,1.30289,1.48105,1.61712,0.6236,0.47826,0.52604,0.27629,1.55107,1.65104,1.83754,0.001208,0.001208,0.001208
22,4185.37,1.31308,1.4614,1.62863,0.65734,0.6087,0.61944,0.30585,1.77527,1.88666,2.04296,0.0011684,0.0011684,0.0011684
23,4377.89,1.25709,1.40266,1.59421,0.62644,0.65217,0.63045,0.30762,1.72974,1.66133,2.01136,0.0011288,0.0011288,0.0011288
24,4568.42,1.28604,1.38148,1.57995,0.67307,0.52174,0.59364,0.35593,1.65106,1.67633,1.9179,0.0010892,0.0010892,0.0010892
25,4738.13,1.24196,1.38643,1.55041,0.71462,0.65329,0.69792,0.36442,1.61363,1.43714,1.82225,0.0010496,0.0010496,0.0010496
26,4903.53,1.25762,1.3363,1.54724,0.68548,0.65217,0.69926,0.3781,1.64369,1.49905,1.98149,0.00101,0.00101,0.00101
27,5087.14,1.19034,1.29025,1.52246,0.62722,0.47826,0.51659,0.24645,1.94437,1.86363,2.13677,0.0009704,0.0009704,0.0009704
28,5275.44,1.24922,1.34831,1.60196,0.58016,0.60109,0.60159,0.32666,1.76463,1.67879,2.01289,0.0009308,0.0009308,0.0009308
29,5457.79,1.1737,1.2096,1.51893,0.72822,0.4666,0.62277,0.35483,1.67308,1.66269,1.92518,0.0008912,0.0008912,0.0008912
30,5638.24,1.20128,1.2539,1.50838,0.59092,0.65217,0.66044,0.36008,1.62367,1.72346,1.96247,0.0008516,0.0008516,0.0008516
31,5817.05,1.12155,1.24677,1.47625,0.66894,0.52736,0.67446,0.3631,1.65485,1.53512,1.9334,0.000812,0.000812,0.000812
32,6004.69,1.10615,1.15201,1.46562,0.72301,0.3913,0.5699,0.28428,1.87515,1.76556,2.12026,0.0007724,0.0007724,0.0007724
33,6202.36,1.12258,1.13333,1.46626,1,0.38665,0.56439,0.26557,1.83439,2.00164,2.11603,0.0007328,0.0007328,0.0007328
34,6395.07,1.10675,1.17022,1.46629,0.77646,0.47826,0.57664,0.26185,1.88388,1.78782,2.17229,0.0006932,0.0006932,0.0006932
35,6593.9,1.12156,1.15622,1.47474,0.93317,0.60716,0.66236,0.28254,1.77133,1.64302,2.01993,0.0006536,0.0006536,0.0006536
36,6790.98,1.08857,1.11614,1.44445,0.81177,0.56267,0.67528,0.35999,1.77911,1.38413,2.14867,0.000614,0.000614,0.000614
37,6984.75,1.04657,1.08159,1.41572,0.67218,0.62451,0.69439,0.338,1.74362,1.56669,2.05484,0.0005744,0.0005744,0.0005744
38,7177.87,1.04864,1.04017,1.42002,0.90695,0.52174,0.66918,0.34886,1.61774,1.64625,1.91399,0.0005348,0.0005348,0.0005348
39,7367.62,1.0359,1.09292,1.40538,0.70692,0.56522,0.67516,0.38944,1.59916,1.71869,1.86774,0.0004952,0.0004952,0.0004952
40,7550.83,1.06121,1.06303,1.45197,0.82841,0.47826,0.64604,0.31816,1.80905,1.79519,2.05893,0.0004556,0.0004556,0.0004556
41,7728.8,0.97589,0.91316,1.44666,0.85028,0.49459,0.68239,0.34029,1.7855,1.51376,2.04708,0.000416,0.000416,0.000416
42,7897.06,0.9901,0.83089,1.44078,0.74523,0.6364,0.75088,0.3897,1.70226,1.4031,1.96945,0.0003764,0.0003764,0.0003764
43,8071.87,0.92805,0.82255,1.3977,0.68043,0.65217,0.69971,0.33902,1.77983,1.51347,2.00875,0.0003368,0.0003368,0.0003368
