epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.691,0.72775,2.32291,1.26135,0.00643,1,0.82808,0.62339,0.53848,3.2601,1.11357,0.00053979,0.00053979,0.00053979
2,445.843,0.75415,1.75271,1.26149,0.93882,0.26479,0.80827,0.5557,0.92896,3.20714,1.52679,0.00107377,0.00107377,0.00107377
3,692.257,0.91331,1.8423,1.35774,0.88261,0.9075,0.94941,0.81344,0.59522,2.42247,1.14297,0.00158574,0.00158574,0.00158574
4,946.85,0.82673,1.67101,1.28837,0.99546,0.98276,0.99483,0.82393,0.65091,1.78277,1.21633,0.00156798,0.00156798,0.00156798
5,1185.23,0.85619,1.66268,1.29443,0.96352,0.93103,0.98967,0.75532,0.70012,2.2503,1.2916,0.00153497,0.00153497,0.00153497
6,1466.93,0.82689,1.54608,1.29138,0.95357,0.96552,0.98131,0.60923,0.99413,1.94678,1.65013,0.00150197,0.00150197,0.00150197
7,1624.76,0.87056,1.54674,1.33889,0.88908,0.96741,0.97539,0.79361,0.65441,1.78783,1.16235,0.00146896,0.00146896,0.00146896
8,1789.74,0.78959,1.39589,1.24974,0.89672,0.93103,0.9193,0.32927,1.61754,2.62582,2.10468,0.00143595,0.00143595,0.00143595
9,1964.69,0.83822,1.3143,1.28703,0.97324,1,0.99449,0.85554,0.51198,1.21956,1.08193,0.00140295,0.00140295,0.00140295
10,2306.52,0.77907,1.30927,1.25988,0.98223,1,0.99415,0.78581,0.57706,1.2055,1.04173,0.00136994,0.00136994,0.00136994
11,2599.27,0.75011,1.28646,1.2104,0.97553,1,0.99195,0.8764,0.52034,1.07008,1.01976,0.00133693,0.00133693,0.00133693
12,2824.19,0.74019,1.2787,1.22857,0.99207,1,0.995,0.91969,0.45166,1.00469,0.96763,0.00130393,0.00130393,0.00130393
13,2960.66,0.6933,1.17381,1.19942,1,0.99727,0.995,0.84085,0.52841,0.97662,1.0098,0.00127092,0.00127092,0.00127092
14,3096.85,0.72151,1.19771,1.21548,0.99624,1,0.995,0.90843,0.41681,0.93809,0.96518,0.00123791,0.00123791,0.00123791
15,3237.31,0.64152,1.12849,1.14227,0.99874,1,0.995,0.91908,0.40334,0.85563,0.94159,0.00120491,0.00120491,0.00120491
16,3383.17,0.66666,1.09607,1.16407,0.99833,1,0.995,0.9188,0.39958,0.7776,0.93563,0.0011719,0.0011719,0.0011719
17,3520.81,0.69648,1.10008,1.20501,0.99793,1,0.995,0.85581,0.57298,0.85633,1.05863,0.00113889,0.00113889,0.00113889
18,3656.01,0.67568,1.09805,1.18525,0.99598,1,0.995,0.92409,0.40941,0.79716,0.97031,0.00110589,0.00110589,0.00110589
19,3791.47,0.70248,1.06851,1.18338,0.99778,1,0.995,0.91678,0.38174,0.81083,0.92479,0.00107288,0.00107288,0.00107288
20,3916.65,0.66504,1.0413,1.15658,0.9981,1,0.995,0.90917,0.44778,0.78169,0.94253,0.00103987,0.00103987,0.00103987
21,4045.02,0.6386,1.03588,1.11811,0.99861,1,0.995,0.9477,0.34057,0.68332,0.88273,0.00100687,0.00100687,0.00100687
22,4170.47,0.5866,0.99496,1.12755,0.99869,1,0.995,0.92744,0.37233,0.686,0.8899,0.000973861,0.000973861,0.000973861
23,4295.34,0.6499,1.01434,1.16658,0.99839,1,0.995,0.92259,0.35238,0.76779,0.88818,0.000940855,0.000940855,0.000940855
24,4415.02,0.55692,0.97243,1.10064,0.99834,1,0.995,0.96685,0.31964,0.67219,0.87209,0.000907848,0.000907848,0.000907848
25,4540.98,0.59054,0.95308,1.12294,0.99851,1,0.995,0.93804,0.34006,0.63951,0.87815,0.000874842,0.000874842,0.000874842
26,4666,0.56507,0.94239,1.11745,0.99851,1,0.995,0.97383,0.2506,0.57887,0.83179,0.000841835,0.000841835,0.000841835
27,4791.96,0.56575,0.98778,1.10832,0.99868,1,0.995,0.94561,0.3263,0.60809,0.87023,0.000808828,0.000808828,0.000808828
28,4912.02,0.57438,0.98844,1.1312,0.99864,1,0.995,0.95779,0.29029,0.63223,0.86118,0.000775822,0.000775822,0.000775822
29,5032.57,0.56979,0.95146,1.12436,0.99836,1,0.995,0.95234,0.30377,0.62482,0.86612,0.000742815,0.000742815,0.000742815
30,5156.04,0.52032,0.90558,1.09838,0.99862,1,0.995,0.97659,0.24296,0.57899,0.8358,0.000709809,0.000709809,0.000709809
31,5279.32,0.54402,0.90488,1.08874,0.99876,1,0.995,0.98876,0.22188,0.51974,0.80925,0.000676802,0.000676802,0.000676802
32,5401.75,0.48679,0.88196,1.0659,0.9987,1,0.995,0.94087,0.33292,0.5237,0.85238,0.000643795,0.000643795,0.000643795
33,5530.17,0.53386,0.90894,1.10685,0.99873,1,0.995,0.9828,0.24863,0.51875,0.81362,0.000610789,0.000610789,0.000610789
34,5652.11,0.52217,0.87847,1.05739,0.99869,1,0.995,0.96788,0.2488,0.5337,0.82418,0.000577782,0.000577782,0.000577782
35,5777.07,0.51532,0.84904,1.1041,0.99873,1,0.995,0.96072,0.26198,0.54786,0.81862,0.000544776,0.000544776,0.000544776
36,5900.22,0.48207,0.87716,1.07022,0.99871,1,0.995,0.97269,0.21659,0.53656,0.80809,0.000511769,0.000511769,0.000511769
37,6026.06,0.49025,0.85408,1.08189,0.99873,1,0.995,0.9637,0.23933,0.53698,0.81395,0.000478762,0.000478762,0.000478762
38,6145.29,0.50761,0.86164,1.08481,0.99869,1,0.995,0.96264,0.28396,0.55164,0.82591,0.000445756,0.000445756,0.000445756
39,6270.35,0.48773,0.86571,1.07328,0.99871,1,0.995,0.98657,0.22956,0.53549,0.81625,0.000412749,0.000412749,0.000412749
40,6394.64,0.50018,0.88144,1.07937,0.99868,1,0.995,0.98334,0.20321,0.51595,0.8017,0.000379743,0.000379743,0.000379743
41,6521.04,0.315,0.82532,0.98564,0.99865,1,0.995,0.99347,0.21412,0.56385,0.79601,0.000346736,0.000346736,0.000346736
42,6645.88,0.30628,0.80038,0.99537,0.99876,1,0.995,0.9934,0.17009,0.56034,0.78285,0.000313729,0.000313729,0.000313729
43,6764.4,0.28847,0.78655,0.98127,0.99871,1,0.995,0.995,0.17771,0.51708,0.78111,0.000280723,0.000280723,0.000280723
44,6891.39,0.278,0.77163,0.97301,0.9988,1,0.995,0.995,0.17296,0.48339,0.7735,0.000247716,0.000247716,0.000247716
45,7018.9,0.29249,0.77492,0.97247,0.99877,1,0.995,0.99382,0.16539,0.47317,0.77122,0.00021471,0.00021471,0.00021471
46,7142.65,0.27284,0.76851,0.9758,0.99878,1,0.995,0.99345,0.15897,0.46388,0.77045,0.000181703,0.000181703,0.000181703
47,7269.6,0.2647,0.75882,0.95254,0.99879,1,0.995,0.995,0.14886,0.47257,0.76675,0.000148696,0.000148696,0.000148696
48,7395.74,0.24766,0.73884,0.95171,0.9988,1,0.995,0.995,0.14685,0.47405,0.76732,0.00011569,0.00011569,0.00011569
